School_ID,District,Block,Urban_Rural,%_Math_Score,%_Language_Score,%_Science_Score,Teacher_Student_Ratio,Avg_Teacher_Experience_Years,Teacher_Trainings_Attended,Electricity_Available,Internet_Available,Functional_Toilets,Library_Available,%_Marginalized_Students,%_Students_With_Home_Internet,Parent_Literacy_Rate
SCH_76,District_A,Block_A2,Urban,40.58,52.87,42.05,33.5,7.8,1,1,0.0,1,0,24.8,14.4,53.6
SCH_77,District_B,Block_B3,Rural,47.42,54.59,59.48,42.2,12.9,3,1,0.0,1,0,34.1,8.7,29.5
SCH_78,District_B,Block_B3,Rural,61.18,48.19,63.85,33.5,12.0,2,1,0.0,1,1,6.0,12.8,35.2
SCH_80,District_A,Block_A3,Rural,64.54,61.51,62.38,33.3,9.3,4,1,0.0,1,0,39.2,22.9,41.1
SCH_81,District_C,Block_C1,Urban,57.4,60.53,48.0,15.6,14.4,2,1,1.0,1,1,11.5,40.9,83.0
SCH_83,District_B,Block_B3,Rural,48.69,49.45,32.14,29.0,4.0,2,1,0.0,1,0,24.0,8.7,42.6
SCH_85,District_B,Block_B2,Urban,38.96,55.96,35.02,23.1,5.1,3,1,1.0,1,1,28.9,36.3,66.2
SCH_86,District_A,Block_A2,Urban,78.37,94.36,70.99,32.7,13.8,2,1,1.0,1,0,3.1,35.7,84.4
SCH_87,District_A,Block_A3,Urban,43.49,40.8,36.28,28.0,5.0,2,1,0.0,1,1,20.3,42.3,41.9
SCH_88,District_C,Block_C2,Rural,70.42,89.0,77.11,47.3,8.4,2,1,0.0,1,0,28.2,2.6,63.5
SCH_89,District_C,Block_C1,Rural,51.99,43.73,48.59,37.8,8.3,1,1,1.0,1,0,47.3,0.0,31.7
SCH_90,District_C,Block_C1,Rural,32.46,39.52,24.96,10.0,9.6,4,0,1.0,1,1,59.9,15.7,54.0
SCH_91,District_C,Block_C2,Rural,57.38,54.33,61.22,21.0,8.1,2,1,0.0,1,0,34.9,3.5,52.9
SCH_92,District_C,Block_C3,Rural,44.02,44.58,38.21,28.1,8.2,2,1,0.0,1,0,40.3,15.4,25.8
SCH_93,District_C,Block_C1,Rural,56.8,71.72,65.75,26.6,5.5,1,1,0.0,1,0,32.0,19.5,22.7
SCH_94,District_A,Block_A2,Rural,44.34,45.67,43.72,39.9,6.0,4,1,0.0,1,1,23.3,4.5,50.9
SCH_95,District_A,Block_A3,Rural,45.09,47.84,26.86,50.6,3.2,2,1,0.0,1,0,34.6,3.3,60.6
SCH_96,District_C,Block_C1,Rural,36.01,35.76,35.0,39.2,13.6,3,1,1.0,1,0,47.1,7.7,46.4
SCH_97,District_C,Block_C2,Urban,54.52,59.0,43.29,20.3,12.8,1,1,1.0,1,0,13.4,40.0,48.6
SCH_99,District_A,Block_A2,Rural,68.07,79.65,70.21,21.6,3.8,3,1,1.0,1,0,15.3,18.6,36.3
SCH_101,District_A,Block_A1,Rural,52.07,59.76,68.3,30.2,9.2,2,1,0.0,1,0,52.0,3.8,52.2
SCH_102,District_C,Block_C1,Rural,56.86,53.06,49.16,35.9,14.7,1,1,0.0,1,1,38.9,2.2,54.7
SCH_103,District_A,Block_A3,Rural,38.25,32.4,30.79,21.8,4.7,4,1,1.0,1,1,14.1,4.5,83.4
SCH_104,District_B,Block_B1,Rural,61.9,59.39,79.26,48.9,14.5,3,1,1.0,1,0,44.6,19.5,55.2
SCH_105,District_C,Block_C1,Rural,42.87,44.33,36.43,29.75,7.7,5,1,0.0,1,0,33.8,6.3,61.3
SCH_106,District_A,Block_A3,Rural,41.2,46.99,29.99,18.3,5.9,3,1,0.0,1,1,42.7,8.1,65.9
SCH_107,District_B,Block_B3,Rural,59.59,76.77,84.79,25.4,5.6,1,1,0.0,0,1,39.7,9.0,41.9
SCH_108,District_A,Block_A2,Urban,65.33,66.56,57.54,20.8,6.8,1,1,1.0,1,0,35.7,31.0,43.0
SCH_109,District_C,Block_C3,Rural,71.05,71.8,72.1,35.2,1.7,3,1,0.0,1,0,29.7,0.0,62.5
SCH_110,District_B,Block_B1,Urban,53.6,52.26,59.26,25.5,12.1,0,1,0.0,1,0,46.6,21.7,61.3
SCH_111,District_C,Block_C3,Rural,41.0,43.54,37.79,50.1,15.1,1,1,0.0,1,1,24.7,3.7,54.0
SCH_112,District_C,Block_C1,Urban,52.76,48.13,51.67,46.2,9.3,3,0,0.0,1,1,17.5,38.8,58.8
SCH_113,District_C,Block_C2,Rural,45.4,48.36,57.26,35.1,13.2,2,1,0.0,1,0,29.3,5.5,64.2
SCH_114,District_B,Block_B3,Rural,41.71,45.66,53.51,36.6,11.3,3,1,1.0,1,0,30.7,8.0,27.6
SCH_115,District_C,Block_C2,Rural,60.36,74.66,66.72,34.5,3.8,2,1,0.0,1,0,39.3,1.9,53.9
SCH_116,District_B,Block_B3,Rural,62.53,76.07,59.23,41.4,13.3,2,1,0.0,1,0,33.8,4.3,38.8
SCH_117,District_B,Block_B1,Rural,84.23,84.65,96.61,45.2,12.0,3,1,0.0,1,1,30.7,12.8,41.1
SCH_118,District_A,Block_A1,Urban,52.36,61.58,70.73,29.75,0.3,1,1,0.0,1,0,21.3,37.2,70.0
SCH_119,District_A,Block_A2,Rural,66.15,67.22,73.41,49.0,7.5,3,0,1.0,1,1,25.3,13.3,47.9
SCH_120,District_A,Block_A3,Urban,53.47,62.48,59.93,33.2,11.6,2,1,0.0,1,1,14.7,29.8,55.5
SCH_121,District_C,Block_C1,Rural,35.9,45.14,51.02,21.4,9.7,2,1,0.0,1,1,44.0,10.7,62.4
SCH_122,District_C,Block_C1,Urban,65.21,77.52,74.02,36.4,10.6,2,1,0.0,1,1,46.9,46.1,79.7
SCH_123,District_A,Block_A1,Rural,44.78,54.05,39.76,30.3,7.0,5,1,0.0,1,0,11.0,7.8,14.0
SCH_124,District_C,Block_C3,Urban,37.43,46.51,42.79,15.4,6.8,3,0,1.0,1,1,12.5,26.8,48.1
SCH_125,District_A,Block_A1,Rural,59.72,71.33,61.54,23.5,2.5,4,1,0.0,1,1,16.4,5.2,47.2
SCH_126,District_A,Block_A1,Urban,62.17,60.25,54.13,33.4,4.7,1,1,0.0,1,1,0.0,35.1,50.665725806451604
SCH_127,District_B,Block_B1,Rural,43.64,57.93,49.8,29.75,10.8,3,0,1.0,1,1,37.3,9.7,41.9
SCH_129,District_B,Block_B3,Rural,32.71,30.16,13.08,41.7,14.3,2,1,1.0,1,1,42.8,23.1,65.9
SCH_130,District_B,Block_B1,Rural,57.74,55.03,67.49,18.2,1.5,2,1,1.0,1,1,47.7,15.5,45.1
SCH_131,District_C,Block_C1,Rural,43.53,43.63,25.54,26.5,7.6,4,0,0.0,1,1,37.3,0.0,49.78229927007299
SCH_132,District_C,Block_C3,Rural,83.59,88.6,83.9,29.75,3.7,1,1,0.0,0,0,26.3,19.6,17.6
SCH_133,District_C,Block_C2,Urban,91.11,86.76,63.63,27.1,12.4,1,1,1.0,1,1,39.6,32.5,67.0
SCH_136,District_A,Block_A1,Rural,48.41,54.66,41.82,16.2,5.5,2,0,0.0,1,1,43.6,15.2,55.7
SCH_137,District_C,Block_C2,Urban,72.01,81.04,88.41,37.1,9.4,0,1,1.0,1,1,30.7,28.1,51.8
SCH_139,District_B,Block_B2,Rural,72.44,73.89,70.52,10.0,10.5,4,1,0.0,1,0,22.6,3.5,47.8
SCH_140,District_C,Block_C1,Rural,72.11,67.32,74.48,35.1,12.2,1,1,0.0,1,1,62.6,4.8,47.3
SCH_141,District_C,Block_C3,Rural,50.61,53.73,61.72,19.7,4.6,0,1,0.0,1,1,46.3,12.6,47.9
SCH_142,District_C,Block_C1,Rural,56.61,65.65,60.47,49.8,14.3,1,1,0.0,1,0,21.7,0.0,60.9
SCH_143,District_A,Block_A2,Urban,69.24,81.87,74.16,25.5,8.0,2,1,0.0,1,0,26.0,42.4,55.2
SCH_144,District_C,Block_C2,Rural,69.33,63.22,76.67,29.2,10.7,2,1,0.0,1,0,24.3,25.5,33.6
SCH_145,District_A,Block_A1,Urban,55.07,62.9,53.54,28.4,8.2,2,1,1.0,1,1,10.0,27.8,20.4
SCH_146,District_A,Block_A1,Rural,96.19,100.0,97.9,27.4,8.1,3,1,0.0,1,1,40.5,16.7,53.9
SCH_147,District_C,Block_C2,Urban,74.71,71.77,51.63,32.6,12.0,2,1,0.0,1,1,6.5,14.0,47.6
SCH_148,District_A,Block_A2,Urban,48.85,45.48,63.88,28.9,5.2,6,1,1.0,1,1,19.6,42.8,68.4
SCH_150,District_B,Block_B1,Urban,60.57,68.24,64.44,13.7,5.9,2,1,1.0,1,1,22.2,15.8,56.0
SCH_151,District_A,Block_A2,Urban,66.72,72.69,70.18,33.3,6.3,1,1,0.0,1,0,3.8,30.3,68.6
SCH_152,District_C,Block_C1,Rural,50.38,57.28,71.87,28.1,10.9,1,1,0.0,1,1,22.1,0.0,54.1
SCH_153,District_A,Block_A3,Rural,67.04,75.76,69.86,21.3,7.9,1,1,0.0,1,0,30.1,0.0,21.0
SCH_154,District_C,Block_C1,Rural,32.0,43.06,30.69,37.9,0.1,2,0,1.0,1,1,43.9,12.1,42.2
SCH_155,District_A,Block_A1,Urban,61.59,69.26,85.19,14.4,14.5,1,1,0.0,1,1,21.0,28.7,82.7
SCH_156,District_A,Block_A2,Rural,66.14,58.53,56.83,19.7,6.5,0,1,0.0,1,0,39.4,14.4,51.1
SCH_157,District_B,Block_B2,Rural,75.56,84.48,70.5,34.2,8.4,1,1,1.0,1,1,45.5,16.9,6.6
SCH_158,District_A,Block_A2,Urban,43.69,38.0,47.64,18.5,10.7,1,1,0.0,1,1,24.6,37.8,49.65370705244123
SCH_159,District_A,Block_A1,Rural,81.9,71.14,70.53,32.3,15.2,1,1,0.0,1,1,38.8,0.0,56.9
SCH_160,District_B,Block_B1,Rural,54.24,59.24,76.7,60.0,10.4,5,1,0.0,1,0,33.2,4.4,28.5
SCH_161,District_B,Block_B2,Rural,75.87,86.37,87.46,30.9,0.0,1,1,0.0,1,0,34.3,9.4,51.8
SCH_162,District_B,Block_B2,Urban,73.36,80.96,82.16,30.5,8.0,2,1,0.0,1,1,13.4,18.8,44.8
SCH_163,District_B,Block_B3,Rural,75.9,83.84,86.7,16.3,12.8,1,1,1.0,1,1,37.6,0.0,24.7
SCH_164,District_C,Block_C3,Rural,78.27,74.32,69.44,28.5,5.2,2,1,0.0,1,0,44.3,21.2,66.7
SCH_165,District_C,Block_C3,Urban,82.81,81.85,79.38,24.7,6.0,1,1,1.0,0,1,3.3,45.1,50.8
SCH_166,District_B,Block_B1,Rural,32.31,27.87,15.12,23.5,7.7,1,1,0.0,1,1,20.5,4.5,40.9
SCH_167,District_A,Block_A2,Rural,82.48,95.46,100.0,40.1,1.7,3,1,1.0,1,0,44.3,7.9,49.2
SCH_168,District_A,Block_A1,Rural,75.71,88.07,79.59,29.6,1.9,4,1,0.0,1,1,40.1,1.4,42.9
SCH_169,District_C,Block_C3,Rural,58.03,67.64,58.46,13.9,15.0,2,1,1.0,1,0,48.8,3.0,31.9
SCH_170,District_C,Block_C1,Urban,58.99,56.27,64.45,44.9,5.7,6,1,0.0,1,1,22.4,28.1,50.7
SCH_172,District_A,Block_A1,Rural,49.64,52.68,59.09,29.8,9.0,2,1,1.0,1,1,31.2,17.9,50.1
SCH_173,District_C,Block_C2,Rural,49.58,55.22,42.33,18.8,8.4,2,1,0.0,1,0,18.4,8.7,49.9
SCH_174,District_C,Block_C3,Rural,70.61,73.69,82.8,10.0,2.4,6,1,0.0,1,0,35.1,5.8,40.6
SCH_175,District_A,Block_A1,Urban,61.68,78.64,67.35,34.2,4.9,1,1,1.0,1,1,17.1,22.6,49.5
SCH_176,District_C,Block_C1,Rural,75.32,95.03,69.31,11.2,15.5,1,1,0.0,1,0,38.9,0.0,46.3
SCH_177,District_A,Block_A1,Rural,54.96,51.65,57.64,21.9,6.1,2,1,1.0,1,1,22.2,36.2,28.3
SCH_178,District_C,Block_C1,Rural,43.55,53.26,60.85,31.3,9.4,2,1,1.0,1,0,38.4,2.0,44.0
SCH_179,District_C,Block_C1,Rural,55.86,66.39,66.09,30.4,8.8,0,1,0.0,1,0,29.4,0.0,54.3
SCH_180,District_B,Block_B1,Urban,41.19,32.42,34.93,23.8,15.0,2,1,0.0,1,1,17.2,36.0,70.0
SCH_181,District_C,Block_C1,Rural,80.95,87.27,91.62,36.2,3.4,3,1,0.0,1,0,35.6,15.4,66.6
SCH_182,District_C,Block_C3,Rural,62.86,73.39,57.8,34.0,15.2,1,1,0.0,1,0,32.8,10.2,58.5
SCH_183,District_A,Block_A3,Urban,63.33,62.5,74.48,25.8,12.4,2,0,0.0,1,1,26.0,36.0,45.8
SCH_184,District_A,Block_A2,Urban,37.11,45.05,51.53,35.4,10.9,1,1,1.0,1,1,27.6,26.7,67.4
SCH_185,District_C,Block_C3,Rural,61.43,62.32,68.67,27.0,6.7,5,1,0.0,0,1,42.3,17.6,54.2
SCH_186,District_C,Block_C3,Rural,58.54,57.51,70.17,24.0,0.8,2,1,0.0,1,1,41.4,13.9,61.4
SCH_187,District_B,Block_B2,Rural,74.5,80.15,93.66,47.5,15.1,1,1,0.0,1,1,30.1,0.0,47.1
SCH_188,District_A,Block_A3,Rural,69.38,79.46,68.5,31.2,15.8,3,1,0.0,1,0,29.9,2.6,37.7
SCH_189,District_C,Block_C2,Rural,41.91,47.9,40.93,29.75,11.8,1,1,0.0,1,0,39.7,0.2,90.9
SCH_190,District_A,Block_A2,Rural,63.62,57.41,64.38,28.0,15.0,1,1,0.0,1,0,50.7,0.0,54.3
SCH_193,District_B,Block_B2,Urban,54.31,59.97,65.95,26.2,0.3,2,1,0.0,1,1,18.5,29.0,49.621442125237195
SCH_194,District_B,Block_B1,Urban,31.71,31.56,19.78,10.0,10.2,4,1,0.0,1,1,36.4,29.5,38.9
SCH_195,District_A,Block_A2,Rural,10.13,1.38,1.51,40.4,6.9,2,1,1.0,0,1,45.5,29.0,69.4
SCH_196,District_C,Block_C3,Rural,41.5,49.79,24.68,38.6,4.4,1,1,0.0,1,0,39.0,13.8,42.1
SCH_197,District_A,Block_A1,Rural,43.43,48.19,57.99,24.9,5.1,3,1,0.0,1,0,32.7,1.6,31.7
SCH_198,District_C,Block_C1,Urban,64.44,70.44,80.98,36.9,7.4,1,1,0.0,1,1,8.2,23.4,49.0
SCH_199,District_C,Block_C2,Rural,26.43,12.46,13.38,34.6,0.0,5,1,0.0,1,0,30.0,17.7,48.2
SCH_200,District_A,Block_A2,Rural,50.24,53.25,52.31,24.9,12.8,1,1,0.0,1,0,32.8,12.5,31.6
SCH_201,District_A,Block_A1,Urban,53.76,47.72,46.24,42.6,5.9,2,1,0.0,1,1,23.6,45.3,62.1
SCH_202,District_B,Block_B2,Urban,57.08,59.57,59.24,32.5,7.5,2,1,0.0,1,0,22.1,20.4,45.3
SCH_203,District_A,Block_A2,Rural,73.14,87.92,74.49,29.75,1.4,3,1,0.0,1,1,31.1,13.2,27.8
SCH_204,District_C,Block_C3,Urban,59.17,66.05,46.12,30.1,16.3,6,1,1.0,1,1,16.3,39.3,56.5
SCH_205,District_B,Block_B3,Rural,55.95,63.7,48.78,29.75,6.0,2,1,0.0,1,1,30.1,0.0,44.0
SCH_206,District_C,Block_C3,Rural,41.86,42.96,43.64,19.9,6.9,6,1,0.0,1,0,42.2,8.8,46.4
SCH_207,District_A,Block_A3,Rural,44.58,46.8,47.18,23.2,9.7,0,1,0.0,1,0,55.8,0.0,32.1
SCH_209,District_C,Block_C1,Rural,51.67,44.26,52.81,34.6,4.8,2,0,0.0,1,1,12.6,0.0,35.1
SCH_210,District_A,Block_A2,Urban,62.41,65.84,81.36,35.0,7.5,0,1,0.0,1,1,12.9,37.1,29.3
SCH_211,District_A,Block_A1,Rural,66.05,72.47,53.65,43.8,6.1,2,1,1.0,1,1,32.1,13.2,40.0
SCH_212,District_C,Block_C3,Urban,42.0,42.66,43.86,40.2,8.1,4,0,0.0,1,1,4.2,32.0,84.5
SCH_213,District_A,Block_A2,Rural,84.4,83.37,80.9,32.7,8.6,3,1,0.0,1,0,47.5,16.7,18.5
SCH_214,District_B,Block_B3,Rural,58.58,64.94,53.12,42.8,12.2,3,0,1.0,1,0,40.8,2.7,50.4
SCH_215,District_A,Block_A3,Rural,66.65,60.44,56.39,19.7,0.0,1,1,0.0,1,1,47.6,1.6,41.6
SCH_216,District_B,Block_B1,Urban,75.73,91.97,79.02,23.9,10.0,2,1,0.0,1,1,16.4,28.2,60.5
SCH_217,District_C,Block_C3,Rural,58.66,61.36,42.7,44.9,8.2,2,0,0.0,1,1,39.4,22.1,41.0
SCH_218,District_B,Block_B3,Rural,49.39,46.69,46.93,21.0,11.4,0,1,0.0,1,0,31.3,0.0,34.9
SCH_219,District_B,Block_B2,Rural,41.44,45.31,56.66,33.1,5.6,1,1,0.0,1,1,39.6,9.0,38.8
SCH_220,District_A,Block_A1,Rural,67.88,61.78,70.06,26.7,6.7,1,1,0.0,1,0,41.1,6.2,62.7
SCH_221,District_C,Block_C2,Urban,48.3,61.94,43.15,38.9,11.6,2,1,1.0,1,1,38.3,41.4,63.1
SCH_222,District_B,Block_B1,Urban,62.78,69.18,68.2,42.8,4.2,3,1,0.0,1,0,13.2,41.8,49.89253731343283
SCH_223,District_A,Block_A2,Rural,84.35,94.69,72.31,48.3,11.7,2,1,0.0,1,1,27.3,12.8,30.2
SCH_224,District_A,Block_A3,Rural,55.71,41.79,46.66,35.3,6.7,0,1,1.0,1,0,34.8,0.0,47.8
SCH_225,District_B,Block_B1,Urban,63.29,66.9,81.32,49.5,4.9,0,1,1.0,1,1,20.0,34.4,49.0
SCH_226,District_C,Block_C2,Urban,88.52,93.48,92.12,29.75,12.7,2,1,1.0,1,1,31.6,27.6,60.7
SCH_227,District_C,Block_C3,Rural,77.48,70.51,54.29,37.1,5.0,3,1,0.0,1,1,37.9,10.2,40.5
SCH_228,District_B,Block_B3,Rural,61.19,68.63,56.29,30.3,0.0,2,1,0.0,1,1,43.8,9.7,49.1
SCH_229,District_A,Block_A1,Rural,79.15,84.86,69.94,19.2,14.7,2,1,1.0,1,0,25.5,20.4,50.665725806451604
SCH_230,District_A,Block_A3,Rural,86.42,89.42,76.1,34.5,16.3,2,0,1.0,1,0,24.9,1.5,46.3
SCH_231,District_A,Block_A3,Urban,62.94,58.71,45.34,32.6,12.4,0,1,0.0,1,1,24.8,38.4,63.6
